SR_Number,Unnamed: 0,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),daytime,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Assigned,# ACTIVITY=Closed,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer,# ACTIVITY=Unmatched,# ACTIVITY=Cancelled,lead_time
1-467153946,27,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3285.648,87.965,7354.39,Friday,5,2,0,0,0,1,2,0,0,0,0,0,0,41260.203
1-467153946,28,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3285.66,0.012,7354.402,Friday,6,2,0,0,0,1,2,0,0,0,0,0,0,41260.203
1-467153946,29,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3287.1,1.44,7355.842,Friday,6,2,0,1,0,1,2,0,0,0,0,0,0,41260.203
1-467153946,30,Accepted,Wait - User,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3287.369,0.269,7356.111,Friday,7,2,0,1,0,1,2,0,0,0,0,0,0,41260.203
1-467153946,31,Accepted,Wait,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3295.985,8.616,7364.727,Friday,7,2,0,1,0,2,2,0,0,0,0,0,0,41260.203
1-467153946,32,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.038,321.053,7685.78,Friday,7,2,0,1,0,2,2,1,0,0,0,0,0,41260.203
1-467153946,33,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.139,0.101,7685.881,Friday,7,2,0,2,0,2,2,1,0,0,0,0,0,41260.203
1-467153946,34,Accepted,Wait,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.193,0.054,7685.935,Friday,8,2,0,2,0,2,2,1,0,0,0,0,0,41260.203
1-467153946,35,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,5550.45,1933.257,9619.192,Friday,8,2,0,2,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,36,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5550.579,0.129,9619.321,Friday,9,2,0,2,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,37,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5609.985,59.406,9678.727,Friday,9,3,0,2,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,38,Accepted,Assigned,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5614.528,4.543,9683.27,Friday,10,3,0,2,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,39,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5614.571,0.043,9683.313,Friday,10,3,0,3,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,40,Accepted,Wait - User,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5615.785,1.214,9684.527,Friday,11,3,0,3,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,41,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5707.465,91.68,9776.207,Friday,11,3,0,3,0,3,2,2,0,0,0,0,0,41260.203
1-467153946,42,Accepted,Wait,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5709.224,1.759,9777.966,Friday,12,3,0,3,0,3,2,2,0,0,0,0,0,41260.203
1-467153946,43,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5795.917,86.693,9864.659,Friday,12,3,0,3,0,3,2,3,0,0,0,0,0,41260.203
1-467153946,44,Accepted,Wait,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5796.322,0.405,9865.064,Friday,13,3,0,3,0,3,2,3,0,0,0,0,0,41260.203
1-467153946,45,Queued,Awaiting Assignment,E_10,Org line C,G137 2nd,Medium,PROD453,se,Sweden,5796.458,0.136,9865.2,Friday,13,3,0,3,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,46,Accepted,In Progress,E_10,Org line C,G137 2nd,Medium,PROD453,se,Sweden,6145.465,349.007,10214.207,Friday,13,4,0,3,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,47,Accepted,In Progress,V3_2,Org line C,M25,Medium,PROD453,se,Sweden,16341.376,10195.911,20410.118,Friday,14,4,0,3,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,48,Accepted,Assigned,V3_2,Org line C,M25,Medium,PROD453,se,Sweden,19350.616,3009.24,23419.358,Friday,15,4,0,3,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,49,Accepted,In Progress,V3_2,Org line C,M25,Medium,PROD453,se,Sweden,25411.197,6060.581,29479.939,Friday,15,4,0,4,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,50,Accepted,Wait - Implementation,V3_2,Org line C,M25,Medium,PROD453,se,Sweden,25411.235,0.038,29479.977,Friday,16,4,0,4,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,51,Queued,Awaiting Assignment,E_10,Org line C,G142 2nd,Medium,PROD453,se,Sweden,31034.299,5623.064,35103.041,Friday,16,4,0,4,0,3,3,4,0,0,0,0,0,41260.203
1-467153946,52,Accepted,In Progress,E_10,Org line C,G142 2nd,Medium,PROD453,se,Sweden,31034.445,0.146,35103.187,Friday,16,5,0,4,0,3,3,4,0,0,0,0,0,41260.203
1-467153946,53,Queued,Awaiting Assignment,V3_2,Org line C,M25,Medium,PROD453,se,Sweden,31034.498,0.053,35103.24,Friday,17,5,0,4,0,3,3,4,0,0,0,0,0,41260.203
1-467153946,54,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden,40628.669,9594.171,44697.411,Friday,17,6,0,4,0,3,3,4,0,0,0,0,0,41260.203
1-467153946,55,Completed,Resolved,V3_2,Org line C,S42,Medium,PROD453,se,Sweden,40628.717,0.048,44697.459,Friday,18,6,0,4,0,3,3,4,0,0,0,0,0,41260.203
1-504538555,74,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,0.0,0.0,6498.813,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,75,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,0.007,0.007,6498.82,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,76,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Belgium,0.216,0.209,6499.029,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,77,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands,92.763,92.547,6591.576,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,78,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD706,nl,Netherlands,92.803,0.04,6591.616,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,79,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,102.052,9.249,6600.865,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,80,Accepted,Assigned,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,102.747,0.695,6601.56,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,81,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,149.356,46.609,6648.169,Friday,4,2,0,1,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,82,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Belgium,149.438,0.082,6648.251,Friday,5,2,0,1,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,83,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands,5626.522,5477.084,12125.335,Friday,5,3,0,1,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,84,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands,32733.61,27107.088,39232.423,Friday,6,3,0,1,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,85,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands,32734.671,1.061,39233.484,Friday,6,4,0,1,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,86,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands,32735.627,0.956,39234.44,Friday,7,4,0,1,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,87,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands,34562.754,1827.127,41061.567,Friday,7,5,0,1,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,88,Accepted,Wait - Implementation,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands,34648.798,86.044,41147.611,Friday,8,5,0,1,0,0,0,0,0,0,0,0,0,37879.677
1-504538555,89,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands,34648.867,0.069,41147.68,Friday,8,5,0,1,0,0,1,0,0,0,0,0,0,37879.677
1-504538555,90,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands,37215.69,2566.823,43714.503,Friday,9,5,0,1,0,0,1,0,0,0,0,0,0,37879.677
1-504538555,91,Completed,Resolved,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands,37215.809,0.119,43714.622,Friday,10,5,0,1,0,0,1,0,0,0,0,0,0,37879.677
1-604144478,823,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,28282.576,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,824,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.024,0.024,28282.6,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,825,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.252,0.228,28282.828,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,826,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,59.159,58.907,28341.735,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,827,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,59.537,0.378,28342.113,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,828,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,59.538,0.001,28342.114,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,829,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,59.563,0.025,28342.139,Friday,3,3,0,0,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,830,Accepted,Assigned,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,59.569,0.006,28342.145,Friday,4,3,0,0,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,831,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,60.423,0.854,28342.999,Friday,4,3,0,1,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,832,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,POLAND,60.619,0.196,28343.195,Friday,5,3,0,1,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,833,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,950.929,890.31,29233.505,Friday,5,4,0,1,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,834,Accepted,Wait,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,11634.959,10684.03,39917.535,Friday,6,4,0,1,0,0,0,0,0,0,0,0,0,16095.906
1-604144478,835,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,15435.324,3800.365,43717.9,Friday,6,4,0,1,0,0,0,1,0,0,0,0,0,16095.906
1-604144478,836,Completed,Resolved,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,15435.353,0.029,43717.929,Friday,7,4,0,1,0,0,0,1,0,0,0,0,0,16095.906
1-605956457,844,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,0.0,0.0,28536.946,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,15755.421
1-605956457,845,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,0.029,0.029,28536.975,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,15755.421
1-605956457,846,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,se,POLAND,0.108,0.079,28537.054,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,15755.421
1-605956457,847,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,Sweden,121.84,121.732,28658.786,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,15755.421
1-605956457,848,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,se,Sweden,121.847,0.007,28658.793,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,15755.421
1-605956457,849,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,928.968,807.121,29465.914,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,15755.421
1-605956457,850,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD424,se,POLAND,929.147,0.179,29466.093,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,15755.421
1-605956457,851,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,931.047,1.9,29467.993,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,15755.421
1-605956457,852,Queued,Awaiting Assignment,E_10,Org line B,G230 2nd,Low,PROD424,se,POLAND,937.721,6.674,29474.667,Friday,5,2,0,0,0,1,0,0,0,0,0,0,0,15755.421
1-605956457,853,Accepted,In Progress,E_10,Org line B,G230 2nd,Low,PROD424,se,Sweden,938.321,0.6,29475.267,Friday,5,3,0,0,0,1,0,0,0,0,0,0,0,15755.421
1-605956457,854,Accepted,Assigned,E_10,Org line B,G230 2nd,Low,PROD424,se,Sweden,938.342,0.021,29475.288,Friday,6,3,0,0,0,1,0,0,0,0,0,0,0,15755.421
1-605956457,855,Accepted,In Progress,E_10,Org line B,G230 2nd,Low,PROD424,se,INDIA,939.429,1.087,29476.375,Friday,6,3,0,1,0,1,0,0,0,0,0,0,0,15755.421
1-605956457,856,Accepted,Wait,E_10,Org line B,G230 2nd,Low,PROD424,se,INDIA,939.783,0.354,29476.729,Friday,7,3,0,1,0,1,0,0,0,0,0,0,0,15755.421
1-605956457,857,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,se,INDIA,942.413,2.63,29479.359,Friday,7,3,0,1,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,858,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1035.143,92.73,29572.089,Friday,7,4,0,1,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,859,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1035.151,0.008,29572.097,Friday,8,4,0,1,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,860,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1035.594,0.443,29572.54,Friday,8,4,0,2,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,861,Queued,Awaiting Assignment,V3_2,Org line C,M8,Low,PROD424,se,POLAND,1035.64,0.046,29572.586,Friday,9,4,0,2,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,862,Accepted,In Progress,V3_2,Org line C,M8,Low,PROD424,se,Sweden,1035.72,0.08,29572.666,Friday,9,5,0,2,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,863,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,se,Sweden,1035.812,0.092,29572.758,Friday,10,5,0,2,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,864,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1036.455,0.643,29573.401,Friday,10,6,0,2,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,865,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1036.459,0.004,29573.405,Friday,11,6,0,2,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,866,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1206.686,170.227,29743.632,Friday,11,6,0,3,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,867,Queued,Awaiting Assignment,V3_2,Org line C,G375,Low,PROD424,se,POLAND,1207.499,0.813,29744.445,Friday,12,6,0,3,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,868,Accepted,In Progress,V3_2,Org line C,G375,Low,PROD424,se,Sweden,15118.329,13910.83,43655.275,Friday,12,7,0,3,0,1,0,1,0,0,0,0,0,15755.421
1-605956457,869,Completed,Resolved,V3_2,Org line C,G375,Low,PROD424,se,Sweden,15118.352,0.023,43655.298,Friday,13,7,0,3,0,1,0,1,0,0,0,0,0,15755.421
1-618854217,989,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD388,in,POLAND,0.0,0.0,30360.764,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,13412.738
1-618854217,990,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD388,in,POLAND,0.01,0.01,30360.774,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,13412.738
1-618854217,991,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD388,in,POLAND,0.721,0.711,30361.485,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,13412.738
1-618854217,992,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD388,in,POLAND,69.847,69.126,30430.611,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,13412.738
1-618854217,993,Accepted,Wait,V3_2,Org line C,G97,Low,PROD388,in,POLAND,69.952,0.105,30430.716,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,13412.738
1-618854217,994,Queued,Awaiting Assignment,A2_4,Org line A2,N8 2nd,Low,PROD388,in,POLAND,77.206,7.254,30437.97,Friday,3,1,0,0,0,0,0,1,0,0,0,0,0,13412.738
1-618854217,995,Accepted,In Progress,A2_4,Org line A2,N8 2nd,Low,PROD388,in,Sweden,334.549,257.343,30695.313,Friday,3,2,0,0,0,0,0,1,0,0,0,0,0,13412.738
1-618854217,996,Accepted,Wait - User,A2_4,Org line A2,N8 2nd,Low,PROD388,in,Sweden,334.999,0.45,30695.763,Friday,4,2,0,0,0,0,0,1,0,0,0,0,0,13412.738
1-618854217,997,Completed,Resolved,A2_4,Org line A2,N8 2nd,Low,PROD388,in,Sweden,9479.967,9144.968,39840.731,Friday,4,2,0,0,0,1,0,1,0,0,0,0,0,13412.738
1-618854217,998,Queued,Awaiting Assignment,A2_4,Org line A2,N8 2nd,Low,PROD388,in,Sweden,9481.123,1.156,39841.887,Friday,4,2,1,0,0,1,0,1,0,0,0,0,0,13412.738
1-618854217,999,Accepted,In Progress,A2_4,Org line A2,N8 2nd,Low,PROD388,in,Sweden,13213.745,3732.622,43574.509,Friday,4,3,1,0,0,1,0,1,0,0,0,0,0,13412.738
1-618854217,1000,Queued,Awaiting Assignment,E_10,Org line B,G230 2nd,Low,PROD388,in,Sweden,13214.278,0.533,43575.042,Friday,5,3,1,0,0,1,0,1,0,0,0,0,0,13412.738
1-618854217,1001,Accepted,In Progress,E_10,Org line B,G230 2nd,Low,PROD388,in,INDIA,13214.459,0.181,43575.223,Friday,5,4,1,0,0,1,0,1,0,0,0,0,0,13412.738
1-618854217,1002,Accepted,Assigned,E_10,Org line B,G230 2nd,Low,PROD388,in,INDIA,13214.978,0.519,43575.742,Friday,6,4,1,0,0,1,0,1,0,0,0,0,0,13412.738
1-618854217,1003,Accepted,In Progress,E_10,Org line B,G230 2nd,Low,PROD388,in,INDIA,13221.412,6.434,43582.176,Friday,6,4,1,1,0,1,0,1,0,0,0,0,0,13412.738
1-618854217,1004,Accepted,Wait - User,E_10,Org line B,G230 2nd,Low,PROD388,in,INDIA,13221.465,0.053,43582.229,Friday,7,4,1,1,0,1,0,1,0,0,0,0,0,13412.738
1-618854217,1005,Completed,Resolved,E_10,Org line B,G230 2nd,Low,PROD388,in,INDIA,13374.497,153.032,43735.261,Friday,7,4,1,1,0,2,0,1,0,0,0,0,0,13412.738
1-629364071,1230,Accepted,In Progress,A2_2,Org line A2,G131 2nd,Medium,PROD50,us,China,0.0,0.0,32470.113,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,11908.364
1-629364071,1231,Accepted,In Progress,A2_2,Org line A2,G131 2nd,Medium,PROD50,us,China,0.359,0.359,32470.472,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,11908.364
1-629364071,1232,Queued,Awaiting Assignment,A2_5,Org line A2,G12 2nd,Medium,PROD50,us,China,84.308,83.949,32554.421,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,11908.364
1-629364071,1233,Accepted,In Progress,A2_5,Org line A2,G12 2nd,Medium,PROD50,us,China,84.312,0.004,32554.425,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,11908.364
1-629364071,1234,Accepted,Wait - User,A2_5,Org line A2,G12 2nd,Medium,PROD50,us,China,251.628,167.316,32721.741,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,11908.364
1-629364071,1235,Accepted,Assigned,A2_5,Org line A2,G12 2nd,Medium,PROD50,us,China,265.33,13.702,32735.443,Friday,3,1,0,0,0,1,0,0,0,0,0,0,0,11908.364
1-629364071,1236,Accepted,In Progress,A2_5,Org line A2,G12 2nd,Medium,PROD50,us,USA,11275.562,11010.232,43745.675,Friday,3,1,0,1,0,1,0,0,0,0,0,0,0,11908.364
1-629364071,1237,Completed,Resolved,A2_5,Org line A2,G12 2nd,Medium,PROD50,us,USA,11275.602,0.04,43745.715,Friday,4,1,0,1,0,1,0,0,0,0,0,0,0,11908.364
1-629883996,1239,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium,0.0,0.0,32598.612,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1240,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium,0.037,0.037,32598.649,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1241,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium,0.242,0.205,32598.854,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1242,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,253.734,253.492,32852.346,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1243,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,253.757,0.023,32852.369,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1244,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,587.743,333.986,33186.355,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1245,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,587.861,0.118,33186.473,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1246,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,588.042,0.181,33186.654,Friday,4,3,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1247,Queued,Awaiting Assignment,A2_1,Org line C,D5,Medium,PROD542,nl,Netherlands,588.056,0.014,33186.668,Friday,5,3,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1248,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium,593.163,5.107,33191.775,Friday,5,4,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1249,Accepted,Assigned,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium,593.172,0.009,33191.784,Friday,6,4,0,0,0,0,0,0,0,0,0,0,0,11779.864
1-629883996,1250,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium,595.011,1.839,33193.623,Friday,6,4,0,1,0,0,0,0,0,0,0,0,0,11779.864
