,SR_Number,Change_Date+Time,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country
6,1-512795200,2011-04-04T16:24:46+01:00,Accepted,Wait - User,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
7,1-512795200,2011-04-08T10:42:53+01:00,Completed,Resolved,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
8,1-512795200,2011-04-11T17:53:52+01:00,Accepted,Assigned,V3_2,Org line C,S42,Medium,PROD660,se,Sweden
9,1-512795200,2011-04-11T17:56:47+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden
10,1-512795200,2011-04-11T17:57:06+01:00,Queued,Awaiting Assignment,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
0,1-516553982,2011-04-13T15:04:32+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-516553982,2011-04-13T15:05:38+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-516553982,2011-04-13T15:12:39+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-516553982,2011-04-19T13:23:12+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-516553982,2011-04-19T13:27:05+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
5,1-516553982,2011-04-19T13:57:53+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
6,1-516553982,2011-04-19T14:01:16+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
0,1-522528740,2011-05-03T08:42:21+01:00,Accepted,In Progress,A2_1,Org line C,D5,Low,PROD542,nl,Belgium
1,1-522528740,2011-05-03T08:42:31+01:00,Accepted,In Progress,A2_1,Org line C,D5,Low,PROD542,nl,Belgium
2,1-522528740,2011-05-03T08:46:47+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Low,PROD542,nl,Belgium
3,1-522528740,2011-05-03T09:44:47+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Low,PROD542,nl,Netherlands
0,1-523391859,2011-05-05T14:47:54+01:00,Accepted,In Progress,,Org line B,V39 2nd,Medium,PROD116,br,Brazil
1,1-523391859,2011-05-05T14:48:38+01:00,Accepted,In Progress,,Org line B,V39 2nd,Medium,PROD116,br,Brazil
0,1-529067006,2011-05-26T14:57:29+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-529067006,2011-05-26T14:57:50+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-529067006,2011-05-26T15:07:31+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-529067006,2011-05-30T11:44:09+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-529067006,2011-05-30T11:46:01+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
5,1-529067006,2011-05-30T12:47:27+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
0,1-529096847,2011-05-26T17:01:53+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-529096847,2011-05-26T17:02:23+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-529096847,2011-05-26T17:10:38+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-529096847,2011-05-30T11:46:17+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-529096847,2011-05-30T11:48:32+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
5,1-529096847,2011-05-30T11:52:42+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
6,1-529096847,2011-05-30T11:57:50+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
7,1-529096847,2011-05-31T13:01:27+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
8,1-529096847,2011-05-31T13:03:30+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
9,1-529096847,2011-06-01T08:52:10+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
10,1-529096847,2011-06-01T08:52:25+01:00,Accepted,Assigned,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
11,1-529096847,2011-06-01T10:36:51+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
12,1-529096847,2011-06-01T10:37:06+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
13,1-529096847,2011-06-01T10:38:08+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
14,1-529096847,2011-06-01T10:41:39+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
15,1-529096847,2011-06-01T11:09:35+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
16,1-529096847,2011-06-01T11:11:02+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
17,1-529096847,2011-06-01T11:11:09+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
0,1-530458987,2011-06-01T08:55:53+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-530458987,2011-06-01T08:58:17+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-530458987,2011-06-01T09:02:37+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-530458987,2011-06-06T13:51:13+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-530458987,2011-06-06T14:21:04+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
5,1-530458987,2011-06-07T13:04:41+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
6,1-530458987,2011-06-07T13:08:14+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
7,1-530458987,2011-06-09T14:21:05+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,0
8,1-530458987,2011-06-10T10:19:23+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
9,1-530458987,2011-06-10T10:21:07+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
0,1-530772502,2011-06-02T08:22:45+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-530772502,2011-06-02T08:23:13+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-530772502,2011-06-02T08:36:23+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-530772502,2011-06-06T12:16:57+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
0,1-530838254,2011-06-02T16:17:44+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
1,1-530838254,2011-06-02T16:24:37+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
2,1-530838254,2011-06-02T16:28:48+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
3,1-530838254,2011-06-06T11:54:51+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-530838254,2011-06-06T11:57:46+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D6,Medium,PROD542,nl,Netherlands
5,1-530838254,2011-06-06T12:23:05+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
6,1-530838254,2011-06-06T12:25:31+01:00,Accepted,Wait - User,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
7,1-530838254,2011-06-07T15:31:26+01:00,Queued,Awaiting Assignment,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
8,1-530838254,2011-06-07T15:31:27+01:00,Queued,Awaiting Assignment,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
9,1-530838254,2011-06-07T18:40:40+01:00,Accepted,In Progress,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
10,1-530838254,2011-06-07T18:40:42+01:00,Accepted,Wait,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
11,1-530838254,2011-07-06T15:45:09+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
12,1-530838254,2011-07-06T15:45:50+01:00,Completed,Resolved,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
13,1-530838254,2011-07-06T17:35:36+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D6,Medium,PROD542,nl,Spain
14,1-530838254,2011-07-06T17:51:44+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
0,1-532109338,2011-06-08T13:58:15+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
1,1-532109338,2011-06-08T13:58:20+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
2,1-532109338,2011-06-08T14:02:01+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
3,1-532109338,2011-06-08T16:20:33+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
4,1-532109338,2011-06-08T16:21:14+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
5,1-532109338,2011-06-08T16:55:56+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
6,1-532109338,2011-06-09T09:34:50+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD542,nl,Netherlands
0,1-536444735,2011-06-24T13:23:13+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-536444735,2011-06-24T13:23:15+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-536444735,2011-06-24T13:25:58+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-536444735,2011-06-24T13:46:34+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
0,1-536481337,2011-06-24T14:58:54+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-536481337,2011-06-24T14:58:56+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-536481337,2011-06-24T15:02:31+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-536481337,2011-06-24T15:42:25+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-536481337,2011-06-27T09:34:41+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
5,1-536481337,2011-06-27T09:41:23+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
6,1-536481337,2011-06-27T09:45:13+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
0,1-537219938,2011-06-28T11:35:39+01:00,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD507,fr,France
1,1-537219938,2011-06-28T11:35:57+01:00,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD507,fr,France
2,1-537219938,2011-06-28T11:50:20+01:00,Queued,Awaiting Assignment,A2_5,Org line A2,L61 3rd,Medium,PROD507,fr,France
3,1-537219938,2011-06-28T11:58:24+01:00,Accepted,In Progress,A2_5,Org line A2,L61 3rd,Medium,PROD507,fr,France
4,1-537219938,2011-06-28T11:59:36+01:00,Queued,Awaiting Assignment,A2_4,Org line A2,V30,Medium,PROD507,fr,France
5,1-537219938,2011-06-28T17:45:50+01:00,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD507,fr,France
0,1-540390551,2011-07-11T08:20:50+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
1,1-540390551,2011-07-11T08:20:55+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
2,1-540390551,2011-07-11T08:28:43+01:00,Queued,Awaiting Assignment,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
3,1-540390551,2011-07-11T08:28:45+01:00,Accepted,In Progress,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
0,1-541468268,2011-07-14T18:20:42+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium
1,1-541468268,2011-07-14T18:20:49+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium
2,1-541468268,2011-07-14T18:22:51+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
3,1-541468268,2011-07-15T08:43:36+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
0,1-543317665,2011-07-25T14:45:15+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-543317665,2011-07-25T14:45:29+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-543317665,2011-07-25T14:50:11+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-543317665,2011-07-25T15:28:03+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-543317665,2011-07-25T15:34:15+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
5,1-543317665,2011-07-25T15:50:14+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
6,1-543317665,2011-07-25T15:52:35+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
7,1-543317665,2011-07-25T15:57:23+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
0,1-543979253,2011-07-28T10:12:37+01:00,Accepted,In Progress,A2_1,Org line A2,M19 2nd,High,PROD700,se,Sweden
1,1-543979253,2011-07-28T10:16:47+01:00,Accepted,In Progress,A2_1,Org line A2,M19 2nd,High,PROD700,se,Sweden
0,1-544969832,2011-08-03T13:17:22+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-544969832,2011-08-03T13:17:49+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-544969832,2011-08-03T13:24:10+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
3,1-544969832,2011-08-04T12:02:25+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-544969832,2011-08-04T13:55:28+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
0,1-544976636,2011-08-03T12:29:56+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
1,1-544976636,2011-08-03T12:31:12+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
2,1-544976636,2011-08-03T12:41:04+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
3,1-544976636,2011-08-04T11:55:05+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
0,1-550213097,2011-08-16T10:20:48+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
1,1-550213097,2011-08-16T10:21:07+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
2,1-550213097,2011-08-16T10:21:44+01:00,Accepted,Wait - User,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
3,1-550213097,2011-08-16T13:40:27+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
4,1-550213097,2011-08-16T13:40:28+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
5,1-550213097,2011-08-16T14:21:08+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
6,1-550213097,2011-08-16T14:26:29+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD542,nl,Netherlands
7,1-550213097,2011-08-16T14:32:30+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
8,1-550213097,2011-08-16T14:35:13+01:00,Accepted,Wait - User,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium
0,1-557297151,2011-08-19T11:09:56+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium
1,1-557297151,2011-08-19T11:11:11+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium
2,1-557297151,2011-08-19T11:12:40+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
3,1-557297151,2011-08-19T12:23:13+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
4,1-557297151,2011-08-19T12:24:05+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D5,Medium,PROD542,nl,Netherlands
5,1-557297151,2011-08-19T12:24:06+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D5,Medium,PROD542,nl,Netherlands
6,1-557297151,2011-08-19T12:58:45+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD542,nl,Belgium
0,1-559795575,2011-08-22T14:54:38+01:00,Queued,Awaiting Assignment,,Other,T19,Medium,PROD562,se,Sweden
1,1-559795575,2011-08-22T14:57:40+01:00,Queued,Awaiting Assignment,A2_3,Org line A2,G356 2nd,Medium,PROD562,se,Sweden
2,1-559795575,2011-08-22T15:52:00+01:00,Accepted,In Progress,A2_3,Org line A2,G356 2nd,Medium,PROD562,se,Brazil
3,1-559795575,2011-08-26T15:52:15+01:00,Queued,Awaiting Assignment,V3_2,Org line C,N38,Medium,PROD562,se,Brazil
4,1-559795575,2011-08-26T15:59:01+01:00,Accepted,In Progress,V3_2,Org line C,N38,Medium,PROD562,se,USA
5,1-559795575,2011-08-26T16:12:50+01:00,Accepted,Wait - User,V3_2,Org line C,N38,Medium,PROD562,se,USA
6,1-559795575,2011-08-26T16:40:31+01:00,Accepted,In Progress,V3_2,Org line C,N38,Medium,PROD562,se,USA
7,1-559795575,2011-08-26T16:43:11+01:00,Queued,Awaiting Assignment,V3_2,Org line C,M9,Medium,PROD562,se,USA
8,1-559795575,2011-08-29T07:12:35+01:00,Accepted,In Progress,V3_2,Org line C,M9,Medium,PROD562,se,Sweden
0,1-565045794,2011-08-31T12:10:52+01:00,Accepted,In Progress,V3_2,Org line C,G96,Medium,PROD424,se,POLAND
