,SR_Number,Change_Date+Time,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country
57,1-506071646,2011-03-07T12:04:35+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
58,1-506071646,2011-03-07T13:22:56+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
59,1-506071646,2011-03-07T13:24:38+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
60,1-506071646,2011-03-07T14:13:15+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
61,1-506071646,2011-03-07T14:13:58+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
62,1-506071646,2011-03-08T06:53:06+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
63,1-506071646,2011-03-08T06:55:54+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
64,1-506071646,2011-03-08T09:16:24+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
65,1-506071646,2011-03-08T09:18:18+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
66,1-506071646,2011-03-08T09:20:32+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
67,1-506071646,2011-03-08T09:22:46+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
68,1-506071646,2011-03-09T07:16:14+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
69,1-506071646,2011-03-09T07:17:16+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
70,1-506071646,2011-03-09T17:03:41+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
71,1-506071646,2011-03-09T17:05:12+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
72,1-506071646,2011-03-10T12:29:05+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
73,1-506071646,2011-03-10T12:47:33+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
74,1-506071646,2011-03-14T10:19:53+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
75,1-506071646,2011-03-14T10:28:30+01:00,Accepted,Assigned,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
76,1-506071646,2011-03-14T10:28:35+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
77,1-506071646,2011-03-14T10:29:13+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
78,1-506071646,2011-03-14T10:30:27+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
79,1-506071646,2011-03-14T10:37:19+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
80,1-506071646,2011-03-15T10:41:17+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
81,1-506071646,2011-03-15T10:53:36+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
82,1-506071646,2011-03-15T11:00:18+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
83,1-506071646,2011-03-15T11:12:52+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
84,1-512795200,2011-04-04T15:51:24+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden
85,1-512795200,2011-04-04T15:52:15+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden
86,1-512795200,2011-04-04T15:58:11+01:00,Queued,Awaiting Assignment,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
87,1-512795200,2011-04-04T16:11:27+01:00,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
88,1-512795200,2011-04-04T16:11:37+01:00,Accepted,Assigned,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
89,1-512795200,2011-04-04T16:18:04+01:00,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
90,1-512795200,2011-04-04T16:24:46+01:00,Accepted,Wait - User,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
91,1-512795200,2011-04-08T10:42:53+01:00,Completed,Resolved,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
92,1-512795200,2011-04-11T17:53:52+01:00,Accepted,Assigned,V3_2,Org line C,S42,Medium,PROD660,se,Sweden
93,1-512795200,2011-04-11T17:56:47+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden
94,1-512795200,2011-04-11T17:57:06+01:00,Queued,Awaiting Assignment,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
95,1-512795200,2011-04-12T07:21:26+01:00,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
96,1-512795200,2011-04-12T07:22:36+01:00,Accepted,Assigned,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
97,1-512795200,2011-04-12T08:12:13+01:00,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
98,1-512795200,2011-04-12T08:12:19+01:00,Accepted,Wait - User,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
99,1-512795200,2011-05-31T09:39:43+01:00,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
100,1-512795200,2011-05-31T09:39:48+01:00,Accepted,Wait - User,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
101,1-516553982,2011-04-13T15:04:32+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
102,1-516553982,2011-04-13T15:05:38+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
103,1-516553982,2011-04-13T15:12:39+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
104,1-516553982,2011-04-19T13:23:12+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
105,1-516553982,2011-04-19T13:27:05+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
106,1-516553982,2011-04-19T13:57:53+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
107,1-516553982,2011-04-19T14:01:16+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
108,1-516553982,2011-04-22T10:29:18+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
109,1-516553982,2011-04-22T10:30:27+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
110,1-516553982,2011-04-27T17:38:48+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
111,1-516553982,2011-04-27T17:42:38+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
112,1-522528740,2011-05-03T08:42:21+01:00,Accepted,In Progress,A2_1,Org line C,D5,Low,PROD542,nl,Belgium
113,1-522528740,2011-05-03T08:42:31+01:00,Accepted,In Progress,A2_1,Org line C,D5,Low,PROD542,nl,Belgium
114,1-522528740,2011-05-03T08:46:47+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Low,PROD542,nl,Belgium
115,1-522528740,2011-05-03T09:44:47+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Low,PROD542,nl,Netherlands
116,1-522528740,2011-05-03T09:45:41+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D5,Low,PROD542,nl,Netherlands
117,1-522528740,2011-05-03T11:05:52+01:00,Accepted,In Progress,A2_1,Org line C,D5,Low,PROD542,nl,Belgium
118,1-522528740,2011-05-03T11:05:57+01:00,Accepted,Assigned,A2_1,Org line C,D5,Low,PROD542,nl,Belgium
119,1-523391859,2011-05-05T14:47:54+01:00,Accepted,In Progress,,Org line B,V39 2nd,Medium,PROD116,br,Brazil
120,1-523391859,2011-05-05T14:48:38+01:00,Accepted,In Progress,,Org line B,V39 2nd,Medium,PROD116,br,Brazil
121,1-523391859,2011-05-05T15:01:23+01:00,Accepted,Wait - Vendor,,Org line B,V39 2nd,Medium,PROD116,br,Brazil
122,1-523391859,2011-05-05T18:21:53+01:00,Accepted,In Progress,,Org line B,V39 2nd,Medium,PROD116,br,Brazil
123,1-529067006,2011-05-26T14:57:29+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
124,1-529067006,2011-05-26T14:57:50+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
125,1-529067006,2011-05-26T15:07:31+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
126,1-529067006,2011-05-30T11:44:09+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
127,1-529067006,2011-05-30T11:46:01+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
128,1-529067006,2011-05-30T12:47:27+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
129,1-529067006,2011-05-30T12:49:28+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
130,1-529067006,2011-05-31T06:30:30+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
131,1-529067006,2011-05-31T06:31:53+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
132,1-529067006,2011-05-31T09:02:29+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
133,1-529096847,2011-05-26T17:01:53+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
134,1-529096847,2011-05-26T17:02:23+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
135,1-529096847,2011-05-26T17:10:38+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
136,1-529096847,2011-05-30T11:46:17+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
137,1-529096847,2011-05-30T11:48:32+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
138,1-529096847,2011-05-30T11:52:42+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
139,1-529096847,2011-05-30T11:57:50+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
140,1-529096847,2011-05-31T13:01:27+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
141,1-529096847,2011-05-31T13:03:30+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
142,1-529096847,2011-06-01T08:52:10+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
143,1-529096847,2011-06-01T08:52:25+01:00,Accepted,Assigned,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
144,1-529096847,2011-06-01T10:36:51+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
145,1-529096847,2011-06-01T10:37:06+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
146,1-529096847,2011-06-01T10:38:08+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
147,1-529096847,2011-06-01T10:41:39+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
148,1-529096847,2011-06-01T11:09:35+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
149,1-529096847,2011-06-01T11:11:02+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
150,1-529096847,2011-06-01T11:11:09+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
151,1-529096847,2011-06-01T11:11:26+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
152,1-529096847,2011-06-01T12:07:38+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
153,1-529096847,2011-06-01T12:07:50+01:00,Accepted,Assigned,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
154,1-529096847,2011-07-11T10:36:40+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
155,1-529096847,2011-07-11T10:58:50+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
156,1-529096847,2011-07-11T11:06:14+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
157,1-529096847,2011-07-11T11:06:18+01:00,Accepted,Assigned,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
158,1-529096847,2011-07-11T11:14:25+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
159,1-529096847,2011-07-11T11:21:28+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
160,1-529096847,2011-07-14T10:58:50+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,0
161,1-530458987,2011-06-01T08:55:53+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
162,1-530458987,2011-06-01T08:58:17+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
163,1-530458987,2011-06-01T09:02:37+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
164,1-530458987,2011-06-06T13:51:13+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
165,1-530458987,2011-06-06T14:21:04+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
166,1-530458987,2011-06-07T13:04:41+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
167,1-530458987,2011-06-07T13:08:14+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
168,1-530458987,2011-06-09T14:21:05+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,0
169,1-530458987,2011-06-10T10:19:23+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
170,1-530458987,2011-06-10T10:21:07+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
171,1-530458987,2011-06-14T11:36:29+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
172,1-530458987,2011-06-14T15:06:36+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
173,1-530458987,2011-06-15T10:14:27+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
174,1-530458987,2011-06-15T10:25:57+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
175,1-530458987,2011-06-15T13:55:06+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
176,1-530458987,2011-06-15T13:57:08+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
177,1-530458987,2011-06-16T10:43:41+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
178,1-530772502,2011-06-02T08:22:45+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
179,1-530772502,2011-06-02T08:23:13+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
180,1-530772502,2011-06-02T08:36:23+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
181,1-530772502,2011-06-06T12:16:57+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
182,1-530772502,2011-06-06T12:17:50+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
183,1-530772502,2011-06-06T13:06:29+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
184,1-530772502,2011-06-06T13:08:54+01:00,Queued,Awaiting Assignment,,Org line V7n,V32 2nd,Medium,PROD542,nl,POLAND
185,1-530838254,2011-06-02T16:17:44+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
186,1-530838254,2011-06-02T16:24:37+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
187,1-530838254,2011-06-02T16:28:48+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
188,1-530838254,2011-06-06T11:54:51+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
189,1-530838254,2011-06-06T11:57:46+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D6,Medium,PROD542,nl,Netherlands
190,1-530838254,2011-06-06T12:23:05+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
191,1-530838254,2011-06-06T12:25:31+01:00,Accepted,Wait - User,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
192,1-530838254,2011-06-07T15:31:26+01:00,Queued,Awaiting Assignment,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
193,1-530838254,2011-06-07T15:31:27+01:00,Queued,Awaiting Assignment,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
194,1-530838254,2011-06-07T18:40:40+01:00,Accepted,In Progress,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
195,1-530838254,2011-06-07T18:40:42+01:00,Accepted,Wait,,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium
196,1-530838254,2011-07-06T15:45:09+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
197,1-530838254,2011-07-06T15:45:50+01:00,Completed,Resolved,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
198,1-530838254,2011-07-06T17:35:36+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D6,Medium,PROD542,nl,Spain
199,1-530838254,2011-07-06T17:51:44+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
200,1-530838254,2011-07-06T17:53:49+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D4,Medium,PROD542,nl,Belgium
201,1-530838254,2011-07-06T17:53:53+01:00,Accepted,In Progress,A2_1,Org line C,D6,Medium,PROD542,nl,Belgium
202,1-530838254,2011-07-06T17:54:21+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium
203,1-530838254,2011-07-07T08:54:32+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
204,1-530838254,2011-07-07T09:12:26+01:00,Accepted,Assigned,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
