,SR_Number,Unnamed: 0,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),time_from_midnight,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Assigned,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=Closed,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer
10,1-467153946,11,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,0.403,0.021,4069.145,Friday,2,1,0,0,0,0,0,0,0,0,0
11,1-467153946,12,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,6.444,6.041,4075.186,Friday,3,1,0,0,0,0,0,0,0,0,0
12,1-467153946,13,Accepted,Wait - User,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,12.333,5.889,4081.075,Friday,3,1,0,1,0,0,0,0,0,0,0
13,1-467153946,14,Queued,Awaiting Assignment,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,249.396,237.063,4318.138,Friday,3,2,0,1,0,0,0,0,0,0,0
14,1-467153946,15,Accepted,In Progress,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,609.911,360.515,4678.653,Friday,4,2,0,1,0,0,0,0,0,0,0
15,1-467153946,16,Accepted,Wait - Implementation,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,609.963,0.052,4678.705,Friday,4,2,0,1,1,0,0,0,0,0,0
16,1-467153946,17,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3196.544,2586.581,7265.286,Friday,5,2,0,1,1,0,0,0,0,0,0
17,1-467153946,18,Accepted,Wait - Implementation,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3197.683,1.139,7266.425,Friday,5,2,0,1,2,0,0,0,0,0,0
18,1-467153946,19,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3285.648,87.965,7354.39,Friday,6,2,0,1,2,0,0,0,0,0,0
19,1-467153946,20,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3285.66,0.012,7354.402,Friday,6,2,0,1,2,1,0,0,0,0,0
20,1-467153946,21,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3287.1,1.44,7355.842,Friday,7,2,0,1,2,1,0,0,0,0,0
21,1-467153946,22,Accepted,Wait - User,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3287.369,0.269,7356.111,Friday,7,2,0,2,2,1,0,0,0,0,0
22,1-467153946,23,Accepted,Wait,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3295.985,8.616,7364.727,Friday,7,2,0,2,2,1,1,0,0,0,0
23,1-467153946,24,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.038,321.053,7685.78,Friday,7,2,0,2,2,2,1,0,0,0,0
24,1-467153946,25,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.139,0.101,7685.881,Friday,8,2,0,2,2,2,1,0,0,0,0
25,1-467153946,26,Accepted,Wait,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.193,0.054,7685.935,Friday,8,2,0,2,2,2,2,0,0,0,0
26,1-467153946,27,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,5550.45,1933.257,9619.192,Friday,9,2,0,2,2,2,2,0,0,0,0
27,1-467153946,28,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5550.579,0.129,9619.321,Friday,9,3,0,2,2,2,2,0,0,0,0
28,1-467153946,29,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5609.985,59.406,9678.727,Friday,10,3,0,2,2,2,2,0,0,0,0
29,1-503573772,31,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD706,nl,Belgium,0.0,0.0,6160.666,Friday,1,0,0,0,0,0,0,0,0,0,0
30,1-503573772,32,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD706,nl,Belgium,0.006,0.006,6160.672,Friday,2,0,0,0,0,0,0,0,0,0,0
31,1-503573772,33,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Belgium,0.109,0.103,6160.775,Friday,2,1,0,0,0,0,0,0,0,0,0
32,1-503573772,34,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands,336.532,336.423,6497.198,Friday,3,1,0,0,0,0,0,0,0,0,0
33,1-503573772,35,Queued,Awaiting Assignment,A2_1,Org line C,D5,Medium,PROD706,nl,Netherlands,336.576,0.044,6497.242,Friday,3,2,0,0,0,0,0,0,0,0,0
34,1-503573772,36,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD706,nl,Belgium,336.626,0.05,6497.292,Friday,4,2,0,0,0,0,0,0,0,0,0
35,1-503573772,37,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Belgium,336.938,0.312,6497.604,Friday,4,3,0,0,0,0,0,0,0,0,0
36,1-503573772,38,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands,5964.591,5627.653,12125.257,Friday,5,3,0,0,0,0,0,0,0,0,0
37,1-504538555,40,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,0.0,0.0,6498.813,Friday,1,0,0,0,0,0,0,0,0,0,0
38,1-504538555,41,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,0.007,0.007,6498.82,Friday,2,0,0,0,0,0,0,0,0,0,0
39,1-504538555,42,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Belgium,0.216,0.209,6499.029,Friday,2,1,0,0,0,0,0,0,0,0,0
40,1-504538555,43,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands,92.763,92.547,6591.576,Friday,3,1,0,0,0,0,0,0,0,0,0
41,1-504538555,44,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD706,nl,Netherlands,92.803,0.04,6591.616,Friday,3,2,0,0,0,0,0,0,0,0,0
42,1-504538555,45,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,102.052,9.249,6600.865,Friday,4,2,0,0,0,0,0,0,0,0,0
43,1-504538555,46,Accepted,Assigned,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,102.747,0.695,6601.56,Friday,4,2,0,0,0,1,0,0,0,0,0
44,1-504538555,47,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium,149.356,46.609,6648.169,Friday,5,2,0,0,0,1,0,0,0,0,0
45,1-504538555,48,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD706,nl,Belgium,149.438,0.082,6648.251,Friday,5,3,0,0,0,1,0,0,0,0,0
46,1-506071646,50,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,7090.928,Friday,1,0,0,0,0,0,0,0,0,0,0
47,1-506071646,51,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.155,0.155,7091.083,Friday,2,0,0,0,0,0,0,0,0,0,0
48,1-506071646,52,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.591,0.436,7091.519,Friday,3,0,0,0,0,0,0,0,0,0,0
49,1-506071646,53,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.643,0.052,7091.571,Friday,3,1,0,0,0,0,0,0,0,0,0
50,1-506071646,54,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,3.983,3.34,7094.911,Friday,4,1,0,0,0,0,0,0,0,0,0
51,1-506071646,55,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,4.392,0.409,7095.32,Friday,4,2,0,0,0,0,0,0,0,0,0
52,1-506071646,56,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,4.889,0.497,7095.817,Friday,5,2,0,0,0,0,0,0,0,0,0
53,1-506071646,57,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,4.947,0.058,7095.875,Friday,5,2,0,1,0,0,0,0,0,0,0
54,1-506071646,58,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,9.648,4.701,7100.576,Friday,6,2,0,1,0,0,0,0,0,0,0
55,1-506071646,59,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,9.75,0.102,7100.678,Friday,6,3,0,1,0,0,0,0,0,0,0
56,1-506071646,60,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,12.667,2.917,7103.595,Friday,7,3,0,1,0,0,0,0,0,0,0
57,1-506071646,61,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,12.71,0.043,7103.638,Friday,7,4,0,1,0,0,0,0,0,0,0
58,1-506071646,62,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,72.658,59.948,7163.586,Friday,8,4,0,1,0,0,0,0,0,0,0
59,1-506071646,63,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,72.826,0.168,7163.754,Friday,8,5,0,1,0,0,0,0,0,0,0
60,1-506071646,64,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,81.256,8.43,7172.184,Friday,9,5,0,1,0,0,0,0,0,0,0
61,1-506071646,65,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,81.37,0.114,7172.298,Friday,9,6,0,1,0,0,0,0,0,0,0
62,1-506071646,66,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,81.504,0.134,7172.432,Friday,10,6,0,1,0,0,0,0,0,0,0
63,1-506071646,67,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,81.638,0.134,7172.566,Friday,10,6,0,2,0,0,0,0,0,0,0
64,1-506071646,68,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,160.446,78.808,7251.374,Friday,11,6,0,2,0,0,0,0,0,0,0
65,1-506071646,69,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,160.508,0.062,7251.436,Friday,11,7,0,2,0,0,0,0,0,0,0
66,1-506071646,70,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,195.693,35.185,7286.621,Friday,12,7,0,2,0,0,0,0,0,0,0
67,1-506071646,71,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,195.784,0.091,7286.712,Friday,12,8,0,2,0,0,0,0,0,0,0
68,1-506071646,72,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,265.617,69.833,7356.545,Friday,13,8,0,2,0,0,0,0,0,0,0
69,1-506071646,73,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,266.725,1.108,7357.653,Friday,13,8,0,3,0,0,0,0,0,0,0
70,1-506071646,74,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,603.465,336.74,7694.393,Friday,14,8,0,3,0,0,0,0,0,0,0
71,1-506071646,75,Accepted,Assigned,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,603.982,0.517,7694.91,Friday,14,8,0,3,0,1,0,0,0,0,0
72,1-506071646,76,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,603.987,0.005,7694.915,Friday,15,8,0,3,0,1,0,0,0,0,0
73,1-506071646,77,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,604.025,0.038,7694.953,Friday,15,9,0,3,0,1,0,0,0,0,0
74,1-506071646,78,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,604.099,0.074,7695.027,Friday,16,9,0,3,0,1,0,0,0,0,0
75,1-506071646,79,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,604.511,0.412,7695.439,Friday,16,10,0,3,0,1,0,0,0,0,0
76,1-506071646,80,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,691.149,86.638,7782.077,Friday,17,10,0,3,0,1,0,0,0,0,0
77,1-506071646,81,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,691.888,0.739,7782.816,Friday,17,11,0,3,0,1,0,0,0,0,0
78,1-506071646,82,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,692.29,0.402,7783.218,Friday,18,11,0,3,0,1,0,0,0,0,0
79,1-512795200,84,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden,0.0,0.0,9528.684,Friday,1,0,0,0,0,0,0,0,0,0,0
80,1-512795200,85,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden,0.051,0.051,9528.735,Friday,2,0,0,0,0,0,0,0,0,0,0
81,1-512795200,86,Queued,Awaiting Assignment,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,0.407,0.356,9529.091,Friday,2,1,0,0,0,0,0,0,0,0,0
82,1-512795200,87,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,1.203,0.796,9529.887,Friday,3,1,0,0,0,0,0,0,0,0,0
83,1-512795200,88,Accepted,Assigned,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,1.213,0.01,9529.897,Friday,3,1,0,0,0,1,0,0,0,0,0
84,1-512795200,89,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,1.6,0.387,9530.284,Friday,4,1,0,0,0,1,0,0,0,0,0
85,1-512795200,90,Accepted,Wait - User,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,2.002,0.402,9530.686,Friday,4,1,0,1,0,1,0,0,0,0,0
86,1-512795200,91,Completed,Resolved,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,327.089,325.087,9855.773,Friday,4,1,1,1,0,1,0,0,0,0,0
87,1-512795200,92,Accepted,Assigned,V3_2,Org line C,S42,Medium,PROD660,se,Sweden,612.148,285.059,10140.832,Friday,4,1,1,1,0,2,0,0,0,0,0
88,1-512795200,93,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden,612.323,0.175,10141.007,Friday,5,1,1,1,0,2,0,0,0,0,0
89,1-512795200,94,Queued,Awaiting Assignment,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,612.342,0.019,10141.026,Friday,5,2,1,1,0,2,0,0,0,0,0
90,1-512795200,95,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,660.602,48.26,10189.286,Friday,6,2,1,1,0,2,0,0,0,0,0
91,1-512795200,96,Accepted,Assigned,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,660.672,0.07,10189.356,Friday,6,2,1,1,0,3,0,0,0,0,0
92,1-512795200,97,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,663.649,2.977,10192.333,Friday,7,2,1,1,0,3,0,0,0,0,0
93,1-512795200,98,Accepted,Wait - User,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,663.655,0.006,10192.339,Friday,7,2,1,2,0,3,0,0,0,0,0
94,1-512795200,99,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden,4902.499,4238.844,14431.183,Friday,8,2,1,2,0,3,0,0,0,0,0
95,1-516553982,101,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,10303.472,Friday,1,0,0,0,0,0,0,0,0,0,0
96,1-516553982,102,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.066,0.066,10303.538,Friday,2,0,0,0,0,0,0,0,0,0,0
97,1-516553982,103,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.487,0.421,10303.959,Friday,2,1,0,0,0,0,0,0,0,0,0
98,1-516553982,104,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,512.32,511.833,10815.792,Friday,3,1,0,0,0,0,0,0,0,0,0
99,1-516553982,105,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,512.553,0.233,10816.025,Friday,3,2,0,0,0,0,0,0,0,0,0
100,1-516553982,106,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,514.401,1.848,10817.873,Friday,4,2,0,0,0,0,0,0,0,0,0
101,1-516553982,107,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,514.604,0.203,10818.076,Friday,4,2,0,1,0,0,0,0,0,0,0
102,1-516553982,108,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,761.086,246.482,11064.558,Friday,5,2,0,1,0,0,0,0,0,0,0
103,1-516553982,109,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,761.155,0.069,11064.627,Friday,5,2,0,2,0,0,0,0,0,0,0
104,1-516553982,110,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,1218.856,457.701,11522.328,Friday,6,2,0,2,0,0,0,0,0,0,0
105,1-522528740,112,Accepted,In Progress,A2_1,Org line C,D5,Low,PROD542,nl,Belgium,0.0,0.0,12008.541,Friday,1,0,0,0,0,0,0,0,0,0,0
106,1-522528740,113,Accepted,In Progress,A2_1,Org line C,D5,Low,PROD542,nl,Belgium,0.01,0.01,12008.551,Friday,2,0,0,0,0,0,0,0,0,0,0
107,1-522528740,114,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Low,PROD542,nl,Belgium,0.266,0.256,12008.807,Friday,2,1,0,0,0,0,0,0,0,0,0
108,1-522528740,115,Accepted,In Progress,missing,Org line V7n,V37 2nd,Low,PROD542,nl,Netherlands,3.746,3.48,12012.287,Friday,3,1,0,0,0,0,0,0,0,0,0
109,1-522528740,116,Queued,Awaiting Assignment,A2_1,Org line C,D5,Low,PROD542,nl,Netherlands,3.8,0.054,12012.341,Friday,3,2,0,0,0,0,0,0,0,0,0
110,1-522528740,117,Accepted,In Progress,A2_1,Org line C,D5,Low,PROD542,nl,Belgium,8.611,4.811,12017.152,Friday,4,2,0,0,0,0,0,0,0,0,0
111,1-523391859,119,Accepted,In Progress,missing,Org line B,V39 2nd,Medium,PROD116,br,Brazil,0.0,0.0,12203.274,Friday,1,0,0,0,0,0,0,0,0,0,0
112,1-523391859,120,Accepted,In Progress,missing,Org line B,V39 2nd,Medium,PROD116,br,Brazil,0.044,0.044,12203.318,Friday,2,0,0,0,0,0,0,0,0,0,0
113,1-523391859,121,Accepted,Wait - Vendor,missing,Org line B,V39 2nd,Medium,PROD116,br,Brazil,0.809,0.765,12204.083,Friday,2,0,0,0,0,0,0,1,0,0,0
114,1-529067006,123,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,14018.249,Friday,1,0,0,0,0,0,0,0,0,0,0
115,1-529067006,124,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.021,0.021,14018.27,Friday,2,0,0,0,0,0,0,0,0,0,0
116,1-529067006,125,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.602,0.581,14018.851,Friday,2,1,0,0,0,0,0,0,0,0,0
117,1-529067006,126,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,334.0,333.398,14352.249,Friday,3,1,0,0,0,0,0,0,0,0,0
118,1-529067006,127,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,334.112,0.112,14352.361,Friday,3,2,0,0,0,0,0,0,0,0,0
119,1-529067006,128,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,337.798,3.686,14356.047,Friday,4,2,0,0,0,0,0,0,0,0,0
120,1-529067006,129,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,337.919,0.121,14356.168,Friday,4,2,0,1,0,0,0,0,0,0,0
121,1-529067006,130,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,401.581,63.662,14419.83,Friday,5,2,0,1,0,0,0,0,0,0,0
122,1-529067006,131,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,401.664,0.083,14419.913,Friday,5,3,0,1,0,0,0,0,0,0,0
123,1-529096847,133,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,14025.713,Friday,1,0,0,0,0,0,0,0,0,0,0
124,1-529096847,134,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.03,0.03,14025.743,Friday,2,0,0,0,0,0,0,0,0,0,0
125,1-529096847,135,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.525,0.495,14026.238,Friday,2,1,0,0,0,0,0,0,0,0,0
126,1-529096847,136,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,326.664,326.139,14352.377,Friday,3,1,0,0,0,0,0,0,0,0,0
127,1-529096847,137,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,326.799,0.135,14352.512,Friday,3,2,0,0,0,0,0,0,0,0,0
128,1-529096847,138,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,327.049,0.25,14352.762,Friday,4,2,0,0,0,0,0,0,0,0,0
129,1-529096847,139,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,327.357,0.308,14353.07,Friday,4,2,0,1,0,0,0,0,0,0,0
130,1-529096847,140,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,417.574,90.217,14443.287,Friday,5,2,0,1,0,0,0,0,0,0,0
131,1-529096847,141,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,417.697,0.123,14443.41,Friday,5,3,0,1,0,0,0,0,0,0,0
132,1-529096847,142,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,489.017,71.32,14514.73,Friday,6,3,0,1,0,0,0,0,0,0,0
133,1-529096847,143,Accepted,Assigned,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,489.032,0.015,14514.745,Friday,6,3,0,1,0,1,0,0,0,0,0
134,1-529096847,144,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,495.298,6.266,14521.011,Friday,7,3,0,1,0,1,0,0,0,0,0
135,1-529096847,145,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,495.313,0.015,14521.026,Friday,7,4,0,1,0,1,0,0,0,0,0
136,1-529096847,146,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,495.375,0.062,14521.088,Friday,8,4,0,1,0,1,0,0,0,0,0
137,1-529096847,147,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,495.586,0.211,14521.299,Friday,8,4,0,2,0,1,0,0,0,0,0
138,1-529096847,148,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,497.262,1.676,14522.975,Friday,9,4,0,2,0,1,0,0,0,0,0
139,1-529096847,149,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,497.349,0.087,14523.062,Friday,9,4,0,3,0,1,0,0,0,0,0
140,1-529096847,150,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,497.356,0.007,14523.069,Friday,10,4,0,3,0,1,0,0,0,0,0
141,1-529096847,151,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,497.373,0.017,14523.086,Friday,10,5,0,3,0,1,0,0,0,0,0
142,1-529096847,152,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,500.745,3.372,14526.458,Friday,11,5,0,3,0,1,0,0,0,0,0
143,1-529096847,153,Accepted,Assigned,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,500.757,0.012,14526.47,Friday,11,5,0,3,0,2,0,0,0,0,0
144,1-529096847,154,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,3951.287,3450.53,17977.0,Friday,12,5,0,3,0,2,0,0,0,0,0
